game_id,critic_score,user_score
1,7.7,8.0
2,10.0,8.2
3,8.0,7.5
4,8.2,9.1
5,8.6,4.7
6,10.0,7.8
7,8.0,8.8
8,9.4,8.8
9,9.1,8.1
10,8.6,9.2
11,9.4,8.7
12,8.0,3.3
13,7.5,8.3
14,5.9,6.5
15,9.3,8.7
16,6.7,
17,8.4,8.5
18,9.1,9.4
19,9.2,8.8
20,7.9,
21,8.0,
22,8.5,9.3
23,9.4,8.3
24,9.7,8.4
25,8.1,
26,9.4,9.7
27,8.2,8.3
28,,
29,8.6,
30,9.9,9.0
31,9.9,10.0
32,8.0,4.6
33,9.5,9.1
34,9.8,9.3
35,,
36,8.9,9.7
37,9.2,8.4
38,8.8,8.6
39,9.0,7.7
40,9.6,8.8
41,10.0,
42,8.6,9.0
43,8.1,4.9
44,9.3,
45,8.6,8.3
46,9.3,8.9
47,8.0,
48,8.7,
49,8.8,
50,8.7,8.8
51,9.6,9.5
52,8.3,7.4
53,8.8,8.6
54,9.8,7.9
55,9.3,
56,9.3,
57,9.5,9.0
58,9.0,5.4
59,8.0,4.3
60,8.8,
61,7.5,7.3
62,9.2,9.7
63,9.1,8.7
64,9.5,
65,9.7,9.0
66,8.5,
67,9.7,9.6
68,8.6,
69,8.9,8.4
70,8.7,
71,9.6,7.7
72,8.6,8.8
73,9.3,9.4
74,9.0,4.1
75,9.7,
76,8.3,
77,9.2,8.0
78,8.0,6.2
79,8.3,
80,9.7,9.0
81,8.3,3.4
82,9.5,9.1
83,8.7,
84,8.5,
85,9.0,8.5
86,10.0,
87,8.6,
88,9.7,10.0
89,8.7,
90,8.9,4.8
91,9.5,
92,9.2,9.2
93,9.5,
94,10.0,9.0
95,9.2,9.5
96,6.9,
97,7.5,
98,7.5,
99,8.2,8.5
100,7.3,7.5
101,9.1,8.0
102,8.3,
103,9.3,
104,9.0,
105,9.8,
106,9.6,9.5
107,8.5,
108,8.4,
109,9.6,9.0
110,9.2,
111,7.0,
112,8.3,4.0
113,7.1,
114,9.0,8.8
115,9.5,
116,9.3,6.3
117,8.3,1.7
118,6.1,6.2
119,9.3,
120,6.5,
121,8.1,
122,10.0,
123,9.0,9.0
124,9.4,
125,9.0,10.0
126,8.0,8.3
127,7.7,3.8
128,8.6,6.6
129,8.8,8.9
130,9.6,
131,8.5,4.4
132,9.5,
133,9.8,
134,7.1,
135,,
136,7.8,1.2
137,9.6,
138,8.5,
139,8.8,
140,9.0,7.4
141,9.2,9.4
142,8.3,8.9
143,9.9,10.0
144,8.6,
145,8.5,5.7
146,8.5,7.8
147,8.5,8.1
148,9.7,9.8
149,9.2,
150,,
151,8.5,
152,,
153,9.5,9.6
154,9.1,7.9
155,8.5,
156,8.6,
157,8.3,8.4
158,7.9,1.1
159,9.3,
160,7.7,
161,9.0,8.1
162,8.3,
163,,
164,8.5,
165,9.0,
166,7.8,
167,9.5,9.6
168,9.5,9.6
169,9.2,
170,9.0,
171,9.0,5.5
172,8.0,6.6
173,7.8,7.6
174,9.5,
175,8.6,
176,8.4,8.8
177,8.8,
178,8.7,
179,9.5,10.0
180,9.0,
181,9.4,9.5
182,8.7,
183,8.7,
184,9.4,
185,8.6,8.5
186,8.1,5.7
187,8.5,
188,8.9,8.0
189,,
190,8.5,
191,8.0,4.0
192,8.6,8.5
193,7.7,
194,9.5,
195,9.5,7.0
196,9.3,9.0
197,8.5,8.9
198,9.3,
199,,
200,9.3,9.8
201,8.5,8.7
202,9.3,
203,9.2,
204,9.5,8.9
205,6.8,7.9
206,8.4,8.0
207,6.9,
208,9.7,7.4
209,7.6,6.1
210,9.1,
211,8.6,8.5
212,9.4,
213,8.0,
214,6.6,
215,,
216,8.2,
217,9.0,
218,8.4,
219,8.2,8.0
220,9.6,
221,9.2,9.8
222,8.6,
223,9.2,
224,8.3,
225,8.8,7.0
226,8.8,
227,8.8,8.5
228,7.5,
229,,
230,8.4,
231,9.2,
232,6.9,
233,9.2,8.9
234,8.0,9.2
235,8.3,
236,,
237,8.5,
238,8.7,
239,9.1,
240,8.3,7.3
241,9.3,
242,7.3,
243,7.6,
244,9.5,
245,8.3,5.5
246,8.3,
247,,
248,8.3,
249,7.8,7.9
250,7.9,
251,9.3,
252,5.9,
253,9.3,7.6
254,,
255,7.0,
256,9.2,
257,,
258,8.6,8.8
259,7.8,
260,7.0,
261,8.4,
262,8.7,
263,9.7,
264,8.1,9.5
265,8.4,6.4
266,9.6,
267,7.5,
268,8.7,
269,9.4,9.4
270,9.4,9.5
271,8.6,6.4
272,9.5,
273,8.2,
274,8.7,8.6
275,9.3,
276,9.0,8.6
277,8.4,8.7
278,9.1,
279,9.2,8.7
280,8.6,
281,,
282,8.3,
283,6.4,
284,,
285,,
286,8.0,8.5
287,8.2,8.5
288,7.8,3.6
289,9.2,
290,7.8,
291,9.1,
292,9.5,
293,7.0,
294,7.7,
295,9.0,
296,9.3,
297,7.7,9.5
298,8.3,
299,8.9,
300,9.3,
301,10.0,
302,8.6,8.5
303,9.1,
304,8.6,
305,7.2,
306,8.3,6.1
307,9.5,8.6
308,9.1,
309,6.9,
310,6.8,
311,8.8,6.4
312,9.5,
313,8.7,
314,,
315,7.1,6.9
316,,
317,7.0,5.2
318,9.4,9.2
319,,
320,9.3,
321,9.3,
322,,
323,8.7,
324,8.5,
325,8.2,
326,9.2,
327,9.6,
328,9.1,
329,8.8,
330,8.7,8.4
331,,
332,5.6,
333,8.0,7.0
334,8.6,
335,8.5,9.1
336,,
337,9.1,
338,8.0,6.4
339,7.1,8.8
340,8.1,7.1
341,7.6,7.8
342,8.0,3.0
343,8.8,8.0
344,9.1,9.2
345,9.0,
346,9.1,
347,9.3,9.8
348,8.5,
349,8.6,
350,8.5,
351,8.8,
352,9.0,
353,7.9,
354,8.4,
355,8.9,
356,8.8,8.6
19599,8.2,3.6
357,9.3,9.0
358,,
359,9.2,
360,7.5,3.8
361,5.9,
362,8.2,
363,8.4,
364,2.0,
365,6.9,
366,9.1,
367,9.4,
368,,
369,8.5,4.9
370,9.0,
371,8.1,7.8
372,8.4,
373,7.0,4.0
374,,
375,9.0,
376,8.2,
377,9.3,9.0
378,8.1,7.2
379,8.4,7.7
380,4.2,
381,8.9,
382,9.1,
383,,
384,8.7,
385,,
386,8.8,8.7
387,,
388,8.8,
389,,
390,7.5,
391,5.4,
392,9.3,9.0
393,9.0,
394,9.4,5.6
395,9.3,9.3
396,8.8,
397,,
398,9.2,8.2
399,5.0,
400,8.7,6.7
401,9.0,
402,7.9,6.8
403,8.3,7.0
404,8.7,
405,8.3,
406,8.7,
407,,
408,,
409,,8.0
410,8.7,
411,7.4,
412,8.5,
413,7.6,
414,9.3,
415,,
416,,
417,8.6,
418,7.7,9.7
19600,7.6,1.5
419,7.5,6.0
420,7.5,
421,7.3,
422,,
423,8.5,
424,8.0,
425,8.3,
426,8.8,5.1
427,9.1,
428,8.4,
429,8.7,6.6
430,9.4,
431,9.6,
432,7.2,
433,6.7,
434,9.3,9.4
435,8.0,
436,8.7,
437,9.0,8.9
438,7.9,
439,8.2,
440,9.0,
441,8.4,
442,8.2,7.6
443,8.1,
444,9.3,
445,6.1,
446,8.5,7.9
447,8.6,6.9
448,8.5,
449,,
450,6.9,
451,9.2,8.3
452,,
453,7.6,
454,8.7,
455,8.3,
456,7.7,
457,8.2,
458,9.1,
459,9.1,
460,7.9,
461,7.9,
462,8.6,
463,,
464,9.0,6.4
465,8.7,
466,8.7,
467,8.7,9.0
468,8.8,
469,9.0,9.3
470,8.7,8.1
471,,
472,9.4,
473,9.2,
474,8.0,
475,6.3,
476,8.3,7.8
477,9.0,9.3
478,8.3,
479,7.6,
480,7.5,7.9
481,7.1,8.1
482,,
483,8.5,7.4
484,7.5,
485,7.9,
486,9.1,6.3
487,6.6,6.9
488,9.1,
489,6.9,
490,8.3,5.5
491,7.9,
492,7.0,
493,7.3,
494,7.9,3.1
495,8.3,
496,6.8,
497,8.4,6.9
498,8.7,
499,8.3,7.1
500,8.2,7.7
501,9.3,
502,,
503,8.2,
504,8.5,
505,8.1,1.7
506,7.1,
507,,
508,7.9,
509,,
510,,
511,,
512,8.1,
513,8.2,5.9
514,8.8,7.3
515,8.7,5.9
516,8.9,8.4
517,8.5,7.6
518,8.4,
519,9.1,
520,8.5,4.4
521,,
522,,
523,,
524,8.9,9.5
525,8.5,4.4
526,8.3,
527,6.1,
528,6.2,
529,9.1,
530,5.5,
531,8.0,8.6
532,,
533,,
534,,
535,8.7,
536,,
537,8.3,7.9
538,8.4,
539,7.2,
540,9.5,5.9
541,8.2,
542,6.6,
543,7.0,
544,8.7,
545,8.0,3.0
546,,
547,8.0,
548,9.3,
549,8.7,
550,7.9,
551,,
552,7.9,
553,7.0,
554,8.6,
555,8.9,6.7
556,6.5,
557,9.5,8.9
558,9.0,8.9
559,9.2,
560,,
561,7.3,
562,7.9,
563,,
564,8.0,
565,7.5,4.3
566,7.8,
567,9.0,
568,7.8,8.0
